rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
169,280,0.6,0.8,18,1.0,0.7855878994200498,0.8592114076935529,0.4300092188858373,0.3999238256063436,0.6667501545550876,0.6780855946985904,0.0,0.0,0.0
170,300,1.2,1.2,18,1.0,0.7871651994974734,0.932343738469711,0.5031415496619954,0.5139472788999018,0.6205714778914992,0.6613798120819746,0.0,0.0,0.0
171,320,0.8,1.0,18,1.0,0.7877088878044919,0.894264545302025,0.46506235649430966,0.4956757595946113,0.6139213609687956,0.6714432986809145,0.0,0.0,0.0
172,340,0.8,0.8,18,1.0,0.7905948894406118,0.8611223638446824,0.43192017503696684,0.4088677322457058,0.6264428974098524,0.6826148456813701,0.0,0.0,0.0
173,240,1.0,1.4,18,1.0,0.7916650216702443,0.9269474998985672,0.4977453110908516,0.4955313450509831,0.653873357822401,0.6672286938975315,0.0,0.0,0.0
174,400,0.8,0.6,18,1.0,0.7956899018662863,0.8424882657531003,0.4132860769453849,0.3599424466153197,0.589549235332214,0.69236838262994,0.0,0.0,0.0
175,340,1.4,1.2,18,1.0,0.7967329571584563,0.9147173471821479,0.4855151583744324,0.4857085130838509,0.586140256153097,0.6753541675648481,0.0,0.0,0.0
176,140,0.6,1.4,18,1.0,0.7972999153231011,0.8781458641030337,0.4489436752953182,0.4532986192283228,0.6530417529433872,0.6850639964992715,0.0,0.0,0.05555555555555555
177,200,0.8,1.4,18,1.0,0.7993635728681697,0.9212863452821775,0.4920841564744619,0.4935438423019085,0.6607639655092221,0.6763425337495542,0.0,0.0,0.0
178,260,1.2,1.4,18,1.0,0.805419069741602,0.96645125064484,0.5372490618371243,0.531599050142995,0.66847331642529,0.671106804282321,0.0,0.0,0.0
179,320,1.0,1.2,18,1.0,0.8059683823037512,0.9362519403646105,0.5070497515568951,0.5249013424151583,0.6202185446726989,0.6792059444145274,0.0,0.0,0.0
180,300,0.6,0.6,18,1.0,0.8096151398896829,0.8408634121207793,0.41166122331306365,0.3083469169374017,0.650502356847773,0.706699834061417,0.0,0.0,0.0
181,320,1.2,1.2,18,1.0,0.8100935971130435,0.9544992018013103,0.5252970129935947,0.5288099909761843,0.6425446475170243,0.6787693438646448,0.0,0.0,0.0
182,360,1.4,1.2,18,1.0,0.811885489700302,0.928385465884606,0.4991832770768905,0.5001710470786529,0.60059537665732,0.6870896704310795,0.0,0.0,0.0
